PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
,A Braña-Arintero (Léon),burial,6980,50,0.00716332378223496,Beta-226472,charcoal,intcal20,,Mesolithic,Galicia,2 burials with grave goods
1,A Gándara,EC 1,5356,49,0.00914861837191934,CSI-C-1263,charcoal,intcal20,,Neolithic,Galicia,
2,A Gándara,EC 2,5412,42,0.00776053215077605,CSI-C-1264,charcoal,intcal20,,Neolithic,Galicia,
73,Alto de Barreira,NA,6030,30,0.00497512437810945,CSI-C-1039,charcoal,intcal20,,Neolithic,Galicia,
76,Anta de Serramo,NA,6050,110,0.0181818181818182,Cams88195,pigment,intcal20,,Neolithic,Galicia,
274,Campurras,Base cabaña,5140,80,0.0155642023346304,Beta-220080,charcoal,intcal20,,Neolithic,Galicia,
275,Campurras,Base cabaña,4890,100,0.0204498977505112,Beta-220081,charcoal,intcal20,,Neolithic,Galicia,
276,Campurras,Paleosuelo,5160,60,0.0116279069767442,Beta-220082,seed,intcal20,,Neolithic,Galicia,
,Chan do Lindeiro,burial ?,7995,70,0.00875547217010632,Ua-13398,charcoal,intcal20,,Mesolithic,Galicia,"burial (?), charcoal sample from rock fall"
,Chan do Lindeiro,burial ?,8236,51,0.00619232637202525,Ua-38115,charcoal,intcal20,,Mesolithic,Galicia,"burial (?), charcoal sample from rock fall"
834,Devesa do Rei,Horizonte B,5190,55,0.010597302504817,UA-20011,charcoal,intcal20,,Neolithic,Galicia,
,Fiales,NA,6590,70,0.0106221547799697,NA,charcoal,intcal20,,Mesolithic,Galicia,possibly Neolithic?
1343,Monte dos Remedios,Estructura de combustión,5385,50,0.00928505106778087,UA-33141,charcoal,intcal20,,Neolithic,Galicia,
1344,Monte dos Remedios,Estructura de combustión,5285,50,0.00946073793755913,UA-33142,charcoal,intcal20,,Neolithic,Galicia,
1345,Monte dos Remedios,Silo con molinos,5780,40,0.0069204152249135,UA-32670,organic material,intcal20,,Neolithic,Galicia,
1346,Monte dos Remedios,Zanja perimetral,5000,40,0.008,UA-32666,organic material,intcal20,,Neolithic,Galicia,
1347,Monte dos Remedios,Zanja perimetral,5015,40,0.00797607178464606,UA-32667,organic material,intcal20,,Neolithic,Galicia,
1348,Monte dos Remedios,Zanja perimetral,4725,40,0.00846560846560847,UA-32669,charcoal,intcal20,,Neolithic,Galicia,
,O Rei Cintolo,camerín,7735,60,0.00775694893341952,Lyon-2731 (OxA),charcoal,intcal20,,Mesolithic,Galicia,mostly aceramic Neolithic
1357,O Reiro,NA,6590,70,0.0106221547799697,CSI-C-508,charcoal,intcal20,,Mesolithic,Galicia,
,O Reiro,NA,7554,89,0.0117818374371194,CSIC-508,NA,intcal20,,Mesolithic,Galicia,aceramic open coastal site
1468,Porto dos Valos,NA,5572,32,0.00574300071787509,CSI-C-1112,bone,intcal20,,Neolithic,Galicia,
,Valdavara 1/2,C,8890,60,0.00674915635545557,Beta-259199,charcoal,intcal20,,Mesolithic,Galicia,
,Valdavara 1/2,C,8920,50,0.00560538116591928,Beta-257850,charcoal,intcal20,,Mesolithic,Galicia,
,Xestido III,hearth,7310,160,0.0218878248974008,GrN-16839,charcoal,intcal20,,Mesolithic,Galicia,
82,Arenaza,I-C1,4965,195,0.0392749244712991,I-8630,charcoal,intcal20,,Neolithic,País Vasco,
83,Arenaza,I-C2,5755,65,0.0112945264986968,OxA-7156,bone,intcal20,,Neolithic,País Vasco,
84,Arenaza,I-C2,6040,75,0.0124172185430464,OxA-7157,bone,intcal20,,Neolithic,País Vasco,
1863,Arenaza,NA,9600,180,0.01875,CSI-C-173,n.d,intcal20,,Mesolithic,País Vasco,
777,Cueva de Santimamiñe,17G  / S2 (nivel III),5450,50,0.0091743119266055,Beta-240898,charcoal,intcal20,,Neolithic,País Vasco,
778,Cueva de Santimamiñe,17G  / S6 (nivel III),5010,40,0.00798403193612774,Beta-240897,charcoal,intcal20,,Neolithic,País Vasco,
779,Cueva de Santimamiñe,IV,7580,50,0.00659630606860158,Beta-240899,charcoal,intcal20,,Mesolithic,País Vasco,
847,Ekain,II,4960,60,0.0120967741935484,UA-36855,human bone,intcal20,,Neolithic,País Vasco,
848,Ekain,Nivel 2,6897,35,0.00507467014644048,UA-38966,n.d,intcal20,,Neolithic,País Vasco,
1819,Ekain,Nivel II,9540,210,0.0220125786163522,I-i1666,n.d,intcal20,,Mesolithic,País Vasco,
1820,Ekain,Nivel Ivbs,9460,185,0.0195560253699789,I-9239,n.d,intcal20,,Mesolithic,País Vasco,
1007,Herriko Barra,B,5810,170,0.0292598967297762,HB*1,organic material,intcal20,,Neolithic,País Vasco,
1004,Herriko Barra,C,6010,90,0.0149750415973378,UA-4820,bone,intcal20,,Mesolithic,País Vasco,
1005,Herriko Barra,C,5710,110,0.0192644483362522,HB*2,charcoal,intcal20,,Mesolithic,País Vasco,
1010,Herriko Barra,C,5960,95,0.0159395973154362,UA-4821,bone,intcal20,,Mesolithic,País Vasco,
1008,Herriko Barra,D,5730,110,0.0191972076788831,I-15350,charcoal,intcal20,,Mesolithic,País Vasco,
1009,Herriko Barra,D,5800,110,0.0189655172413793,I-15351,organic material,intcal20,,Mesolithic,País Vasco,
